|     | task_0_variant   |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas | task_0_measured   | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_0_accuracy |   task_1_accuracy |
|   9 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               3.33333 |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  10 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  11 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  12 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  13 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  14 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  15 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|  16 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  17 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  18 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  19 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  20 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  21 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  22 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  23 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  24 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  25 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  26 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  27 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  28 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  29 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  30 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  31 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  32 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  33 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  34 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  35 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  36 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  37 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  38 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  39 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  40 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               6.66667 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  41 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  42 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  43 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  44 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  45 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  46 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               3.33333 |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  47 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              3 |              0 |                0.25 |               0.5 |               0.5 |
|  48 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              20       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  49 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  50 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  51 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  52 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |              10       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  53 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |              10       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  54 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               6.66667 |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  55 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  56 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               6.66667 |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  57 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               6.66667 |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  58 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               6.66667 |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  59 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  60 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  61 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  62 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  63 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               5       |              4 |              0 |                0.25 |               0.5 |               0.5 |
|  64 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  65 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  66 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  67 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  68 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  69 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  70 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  71 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  72 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               3.33333 |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  73 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               3.33333 |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  74 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  75 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  76 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  77 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  78 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  79 | yolo5n           |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  80 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  81 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  82 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  83 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  84 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  85 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  86 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
